|                            Parameters | 4FGL J0534.5+2200.spectral.index | 4FGL J0534.5+2200.spectral.amplitude | 4FGL J0534.5+2200.spectral.reference | 4FGL J0534.5+2200.spectral.lambda_ | 4FGL J0534.5+2200.spectral.alpha | 4FGL J0534.5+2200.spatial.lon_0 | 4FGL J0534.5+2200.spatial.lat_0 | 4FGL J0534.5+2201s.spectral.index | 4FGL J0534.5+2201s.spectral.amplitude | 4FGL J0534.5+2201s.spectral.reference | 4FGL J0534.5+2201s.spatial.lon_0 | 4FGL J0534.5+2201s.spatial.lat_0 | 4FGL J0534.5+2201i.spectral.amplitude | 4FGL J0534.5+2201i.spectral.reference | 4FGL J0534.5+2201i.spectral.alpha | 4FGL J0534.5+2201i.spectral.beta | 4FGL J0534.5+2201i.spatial.lon_0 | 4FGL J0534.5+2201i.spatial.lat_0 | 4FGL J0534.5+2201i.spatial.sigma | 4FGL J0534.5+2201i.spatial.e | 4FGL J0534.5+2201i.spatial.phi | 4FGL J0521.7+2112.spectral.amplitude | 4FGL J0521.7+2112.spectral.reference | 4FGL J0521.7+2112.spectral.alpha | 4FGL J0521.7+2112.spectral.beta | 4FGL J0521.7+2112.spatial.lon_0 | 4FGL J0521.7+2112.spatial.lat_0 | galdiff.spectral.index | galdiff.spectral.amplitude | galdiff.spectral.reference | isodiff.spectral.norm | isodiff.spectral.tilt | isodiff.spectral.reference | isodiff.spatial.value |
|      4FGL J0534.5+2201s.spatial.lon_0 |                              0.0 |                                  0.0 |                                  0.0 |                                0.0 |                              0.0 |                             0.0 |                             0.0 |                               0.0 |                                   0.0 |                                   0.0 |                              0.0 |                              0.0 |                                   0.0 |                                   0.0 |                               0.0 |                              0.0 |                              0.0 |                              0.0 |                              0.0 |                          0.0 |                            0.0 |                                  0.0 |                                  0.0 |                              0.0 |                             0.0 |                             0.0 |                             0.0 |                    0.0 |                        0.0 |                        0.0 |                   0.0 |                   0.0 |                        0.0 |                   0.0 |
|      4FGL J0534.5+2201s.spatial.lat_0 |                              0.0 |                                  0.0 |                                  0.0 |                                0.0 |                              0.0 |                             0.0 |                             0.0 |                               0.0 |                                   0.0 |                                   0.0 |                              0.0 |                              0.0 |                                   0.0 |                                   0.0 |                               0.0 |                              0.0 |                              0.0 |                              0.0 |                              0.0 |                          0.0 |                            0.0 |                                  0.0 |                                  0.0 |                              0.0 |                             0.0 |                             0.0 |                             0.0 |                    0.0 |                        0.0 |                        0.0 |                   0.0 |                   0.0 |                        0.0 |                   0.0 |
| 4FGL J0534.5+2201i.spectral.amplitude |                              0.0 |                                  0.0 |                                  0.0 |                                0.0 |                              0.0 |                             0.0 |                             0.0 |                               0.0 |                                   0.0 |                                   0.0 |                              0.0 |                              0.0 |                1.3225487260026725e-12 |                                   0.0 |             4.476213324662227e-07 |           -4.769004848712673e-08 |                              0.0 |                              0.0 |                              0.0 |                          0.0 |                            0.0 |                                  0.0 |                                  0.0 |                              0.0 |                             0.0 |                             0.0 |                             0.0 |                    0.0 |                        0.0 |                        0.0 |                   0.0 |                   0.0 |                        0.0 |                   0.0 |
| 4FGL J0534.5+2201i.spectral.reference |                              0.0 |                                  0.0 |                                  0.0 |                                0.0 |                              0.0 |                             0.0 |                             0.0 |                               0.0 |                                   0.0 |                                   0.0 |                              0.0 |                              0.0 |                                   0.0 |                                   0.0 |                               0.0 |                              0.0 |                              0.0 |                              0.0 |                              0.0 |                          0.0 |                            0.0 |                                  0.0 |                                  0.0 |                              0.0 |                             0.0 |                             0.0 |                             0.0 |                    0.0 |                        0.0 |                        0.0 |                   0.0 |                   0.0 |                        0.0 |                   0.0 |
|     4FGL J0534.5+2201i.spectral.alpha |                              0.0 |                                  0.0 |                                  0.0 |                                0.0 |                              0.0 |                             0.0 |                             0.0 |                               0.0 |                                   0.0 |                                   0.0 |                              0.0 |                              0.0 |                 4.476213324662227e-07 |                                   0.0 |               0.15826682087541166 |             -0.01775023666278816 |                              0.0 |                              0.0 |                              0.0 |                          0.0 |                            0.0 |                                  0.0 |                                  0.0 |                              0.0 |                             0.0 |                             0.0 |                             0.0 |                    0.0 |                        0.0 |                        0.0 |                   0.0 |                   0.0 |                        0.0 |                   0.0 |
|      4FGL J0534.5+2201i.spectral.beta |                              0.0 |                                  0.0 |                                  0.0 |                                0.0 |                              0.0 |                             0.0 |                             0.0 |                               0.0 |                                   0.0 |                                   0.0 |                              0.0 |                              0.0 |                -4.769004848712673e-08 |                                   0.0 |              -0.01775023666278816 |            0.0021162176933008535 |                              0.0 |                              0.0 |                              0.0 |                          0.0 |                            0.0 |                                  0.0 |                                  0.0 |                              0.0 |                             0.0 |                             0.0 |                             0.0 |                    0.0 |                        0.0 |                        0.0 |                   0.0 |                   0.0 |                        0.0 |                   0.0 |
|      4FGL J0534.5+2201i.spatial.lon_0 |                              0.0 |                                  0.0 |                                  0.0 |                                0.0 |                              0.0 |                             0.0 |                             0.0 |                               0.0 |                                   0.0 |                                   0.0 |                              0.0 |                              0.0 |                                   0.0 |                                   0.0 |                               0.0 |                              0.0 |                              0.0 |                              0.0 |                              0.0 |                          0.0 |                            0.0 |                                  0.0 |                                  0.0 |                              0.0 |                             0.0 |                             0.0 |                             0.0 |                    0.0 |                        0.0 |                        0.0 |                   0.0 |                   0.0 |                        0.0 |                   0.0 |
|      4FGL J0534.5+2201i.spatial.lat_0 |                              0.0 |                                  0.0 |                                  0.0 |                                0.0 |                              0.0 |                             0.0 |                             0.0 |                               0.0 |                                   0.0 |                                   0.0 |                              0.0 |                              0.0 |                                   0.0 |                                   0.0 |                               0.0 |                              0.0 |                              0.0 |                              0.0 |                              0.0 |                          0.0 |                            0.0 |                                  0.0 |                                  0.0 |                              0.0 |                             0.0 |                             0.0 |                             0.0 |                    0.0 |                        0.0 |                        0.0 |                   0.0 |                   0.0 |                        0.0 |                   0.0 |
|      4FGL J0534.5+2201i.spatial.sigma |                              0.0 |                                  0.0 |                                  0.0 |                                0.0 |                              0.0 |                             0.0 |                             0.0 |                               0.0 |                                   0.0 |                                   0.0 |                              0.0 |                              0.0 |                                   0.0 |                                   0.0 |                               0.0 |                              0.0 |                              0.0 |                              0.0 |                              0.0 |                          0.0 |                            0.0 |                                  0.0 |                                  0.0 |                              0.0 |                             0.0 |                             0.0 |                             0.0 |                    0.0 |                        0.0 |                        0.0 |                   0.0 |                   0.0 |                        0.0 |                   0.0 |
|          4FGL J0534.5+2201i.spatial.e |                              0.0 |                                  0.0 |                                  0.0 |                                0.0 |                              0.0 |                             0.0 |                             0.0 |                               0.0 |                                   0.0 |                                   0.0 |                              0.0 |                              0.0 |                                   0.0 |                                   0.0 |                               0.0 |                              0.0 |                              0.0 |                              0.0 |                              0.0 |                          0.0 |                            0.0 |                                  0.0 |                                  0.0 |                              0.0 |                             0.0 |                             0.0 |                             0.0 |                    0.0 |                        0.0 |                        0.0 |                   0.0 |                   0.0 |                        0.0 |                   0.0 |
